name_cn,name_en,type,grapes,favor,age,market_price,price,score,click,factory,location
杰森酒庄系列长相思干白葡萄酒（低酒精）,"Giesen Estate Low Alcohol Sauvignon Blanc, Marlborough, New Zealand",白葡萄酒,长相思,清新 轻盈 爽脆,2013,-1,-1,,835,杰森酒庄,新西兰-马尔堡
德尚庄园钻石赤霞珠干红葡萄酒,"Chateau des Champs Diamond Cabernet Sauvignon Dry Red Wine, Huailai, China",红葡萄酒,赤霞珠,醇厚协调 质感精致,2005,-1,-1,,1701,怀来德尚葡萄酒业,中国-怀来
欢愉帝博干红葡萄酒,"Chateau Plaisance Thibaut de Plaisance, Fronton, France",红葡萄酒,内格瑞特,果香浓郁 口感圆润 黑色水果味,2010,315,-1,"《葡萄酒评论》:0.25
《葡萄酒评论》:0.8
《葡萄酒评论》:0.75",2927,欢愉酒庄,法国-西南产区
,Gerard Depardieu Mi Diferencia,红葡萄酒,马尔贝克,优雅  含蓄 风味精妙,2003,-1,-1,《葡萄酒倡导家》:0.9,912,杰拉德帕迪约酒庄,-阿根廷
河石基石干红葡萄酒,"River Stone Estate Winery Cornerstone, Okanagan, Canada",红葡萄酒,"品丽珠
梅洛
赤霞珠",,2011,-1,-1,,956,河石酒庄,加拿大-欧肯那根谷
司迪克斯赤霞珠干红葡萄酒,"Sticks Cabernet Sauvignon, Yarra Valley, Australia",红葡萄酒,赤霞珠,,2011,-1,-1,"《詹姆士·韩礼德澳大利亚葡萄酒指南》:0.89
《葡萄酒爱好者》:0.87
史蒂芬·坦泽:0.85
《詹姆士·韩礼德澳大利亚葡萄酒指南》:0.9
《葡萄酒爱好者》:0.84",2215,司迪克斯酒庄,澳大利亚-雅拉谷
奥维那马卡布里干白葡萄酒,"Domaine d'Auvenay la Macabree Blanc, Auxey-Duresses, France",白葡萄酒,霞多丽 100%,宏大 纯正 有深度 紧实 圆润,2004,-1,-1,,1676,奥维那酒庄,法国-欧克塞-迪雷斯
广夏詹姆斯酿乐享赤霞珠干红葡萄酒,"Guangxia Winery Jamesvin Enjoy Cabernet Sauvignon, Ningxia, China",红葡萄酒,赤霞珠,黑莓、黑醋栗、香料,2010,-1,-1,,393,广夏葡萄酒,中国-宁夏
金色时代海岸庄园橡木桶珍酿干红葡萄酒,"Gold Period Coast Manor Oaked Cuvee, Yantai, China",红葡萄酒,,黑色水果 果干,-1,-1,-1,,1084,烟台时代葡萄酒,中国-烟台
嘉德山慕合怀特红葡萄酒,"Judd's Hill Mourvedre, California, USA",红葡萄酒,慕合怀特,巧克力 抹茶 薄荷,2013,-1,-1,,364,嘉德山酒庄,美国-加利福尼亚州
